code,name,value,correlation_cof,p_value,n,presentmentioned
ELY,elly,0.9999999999999999,0.9999999999999999,0,1,Present
ELY,paul_de_montigny,0.5644213527534231,0.5644213527534231,9.797753104891692e-43,1,Present
FAH,pap,0.7324197591665115,0.7324197591665115,7.296682595455222e-55,1,Present
FAH,unnamed_boy_narrator,0.9969826716131216,0.9969826716131216,0,1,Present
GDM,lucas_beauchamp,0.9820018558722124,0.9820018558722124,0,2,Present
GDM,molly_beauchamp,0.9668749978632598,0.9668749978632598,0,1,Present
GDM,zack_edmonds,0.9668281293459199,0.9668281293459199,0,1,Present
GOD,belle_worsham,0.534079150561529,0.534079150561529,5.623842887016407e-22,1,Present
GOD,gavin_stevens,0.830769083592604,0.830769083592604,1.9024822759770188e-72,6,Present
GOD,mollie_worsham_beauchamp,0.535028438353862,0.535028438353862,4.611187505388905e-22,1,Present
GOL,dan,0.6269204084504125,0.6269204084504125,1.0296162830290673e-40,1,Present
GOL,lucas,0.7301405032293853,0.7301405032293853,3.551843376980697e-61,1,Present
GOL,oscar,0.6269204084504125,0.6269204084504125,1.0296162830290673e-40,1,Present
GOL,roth_edmonds,0.7278859350211774,0.7278859350211774,1.250813325728112e-60,1,Present
GOL,unnamed_salesman,0.5227778595268672,0.5227778595268672,1.2194243039311303e-26,1,Present
HR,matt_fox,0.5146356635411551,0.5146356635411551,1.4099116291227167e-23,1,Present
HR,mrs._burchett,0.5491836140957402,0.5491836140957402,3.0973363791695855e-27,1,Present
HR,susan_reed,0.5974202208838127,0.5974202208838127,4.1167949478154095e-33,1,Present
HUW,gavin_stevens,0.8504865107260668,0.8504865107260668,8.606876881102123e-108,6,Present
HUW,unnamed_insurance_agent,0.7215654730304932,0.7215654730304932,1.720092888334357e-62,1,Present
ID,chick_mallison,0.917987355987405,0.917987355987405,0,1,Present
J,doom,0.6507034620038389,0.6507034620038389,1.7292091507193706e-50,1,Present
J,herman_basket,0.6377676923461519,0.6377676923461519,5.738825894433473e-48,1,Present
KGB,charles_mallison,0.748391572968304,0.748391572968304,2.571160603160903e-240,1,Present
KGB,gavin_stevens,0.6149030165616084,0.6149030165616084,7.171075498137131e-140,6,Present
LA,miss_atkins,0.808849636251867,0.808849636251867,0,1,Present
LA,unnamed_matron_of_the_memphis_orphanage,0.7947879138270684,0.7947879138270684,0,1,Present
LD,dewey_dell_bundren,0.943262472791867,0.943262472791867,0,1,Present
LD,lafe,0.930630509559397,0.930630509559397,0,1,Present
LIO,boon_hogganbeck,0.7448664541211447,0.7448664541211447,6.8220963416431495e-53,1,Present
LIO,major_de_spain,0.5926216644661073,0.5926216644661073,4.476235214248368e-29,2,Present
LIO,quentin,0.8527786130764717,0.8527786130764717,8.495074005424117e-84,2,Present
LJC,suratt,0.8083103809095041,0.8083103809095041,5.64873794041594e-104,1,Present
MGM,bayard_sartoris,0.9311644110028451,0.9311644110028451,5.48923253411912e-273,8,Present
MGM,cousin_melisandre,0.6726839203785157,0.6726839203785157,6.877229432303752e-83,1,Present
MGM,joby,0.5293230000569601,0.5293230000569601,4.5964948419554866e-46,3,Present
MGM,louvinia,0.6880318865512133,0.6880318865512133,4.0603109011822617e-88,2,Present
MGM,lucius,0.5285432272005516,0.5285432272005516,6.557807841098502e-46,1,Present
MGM,philadelphia,0.5696219310090843,0.5696219310090843,1.2870665997318588e-54,1,Present
MGM,ringo,0.6479643532221769,0.6479643532221769,4.22574343630371e-75,8,Present
MGM,rosa_millard,0.6576965045435017,0.6576965045435017,4.441037396579204e-78,5,Present
MNK,monk_odlethrop,0.6390907591386001,0.6390907591386001,4.524253756054455e-36,1,Present
