code,name,value,correlation_cof,p_value,n,presentmentioned
SAS,white_upper_class_male,0.9999392833509401,0.9999392833509401,0,36,Both
SF,white_upper_class_female,0.9669179671204986,0.9669179671204986,0,13,Both
SF,white_upper_class_male,0.9977054502191914,0.9977054502191914,0,36,Both
SH,white_lower_class_female,0.6356612817046342,0.6356612817046342,1.5613382818287045e-59,8,Both
SH,white_lower_class_male,0.9466527910849014,0.9466527910849014,5.878349967550134e-254,23,Both
SH,white_poor_white_male,0.6107796093916986,0.6107796093916986,7.097689404350567e-54,8,Both
SL,white_lower_class_male,0.8360700593969076,0.8360700593969076,1.3704960388361954e-77,23,Both
SL,white_poor_white_female,0.5412025455689795,0.5412025455689795,1.2828949400882243e-23,2,Both
SL,white_poor_white_male,0.9793551580288676,0.9793551580288676,2.1036823677242828e-203,8,Both
SMO,white_middle_class_male,0.668819218033929,0.668819218033929,2.0461735378627818e-67,13,Both
SMO,white_upper_class_male,0.529613727978481,0.529613727978481,3.235385175957094e-38,36,Both
SNP,black_free_black_male,0.5667928076149306,0.5667928076149306,4.993308760929525e-17,9,Both
SNP,white_lower_class_female,0.7954393991452201,0.7954393991452201,1.921678125700978e-41,8,Both
SNP,white_upper_class_male,0.5667928076149306,0.5667928076149306,4.993308760929525e-17,36,Both
SY,black_free_black_male,0.6967155088108733,0.6967155088108733,0,9,Both
T,white_lower_class_male,0.63471477059512,0.63471477059512,0,23,Both
T,white_upper_class_male,0.727845663869638,0.727845663869638,0,36,Both
TES,black_free_black_female,0.8348948619174645,0.8348948619174645,7.039518373898892e-162,7,Both
TES,white_upper_class_female,0.6975385436932021,0.6975385436932021,3.115222931131419e-91,13,Both
TES,white_upper_class_male,0.9363399258217315,0.9363399258217315,3.287405626173208e-282,36,Both
TH,white_lower_class_male,1,1,0,23,Both
TM,white_lower_class_male,0.7421023450628298,0.7421023450628298,7.777034928145819e-53,23,Both
TM,white_middle_class_male,0.959802677263101,0.959802677263101,1.0228597034345494e-163,13,Both
TM,white_yeoman_male,0.8301776516357093,0.8301776516357093,2.499242712039661e-76,1,Both
TO,white_lower_class_male,0.8795036127039202,0.8795036127039202,5.1110233889271824e-101,23,Both
TO,white_middle_class_male,0.6987983457421253,0.6987983457421253,1.3918078310518472e-46,13,Both
TO,white_poor_white_male,0.5037788124400442,0.5037788124400442,2.72668780540544e-21,8,Both
TO,white_upper_class_male,0.6066067575140635,0.6066067575140635,1.9309843726613452e-32,36,Both
TWB,white_middle_class_female,0.7439229880428138,0.7439229880428138,2.904004904474288e-57,6,Both
TWB,white_middle_class_male,1,1,0,13,Both
TWQ,mixedblackwhite_free_black_female,0.5740737086546572,0.5740737086546572,2.5857593512092085e-37,1,Both
TWQ,white_upper_class_female,0.7983109294448867,0.7983109294448867,6.9372810114777e-92,13,Both
TWQ,white_upper_class_male,0.5576250499500172,0.5576250499500172,7.10213185057002e-35,36,Both
TWS,white_lower_class_female,0.514250740938313,0.514250740938313,1.122122826110968e-31,8,Both
